iter	Logloss
0	0.6914209508
1	0.6905115869
2	0.6885120956
3	0.6875352332
4	0.6860631832
5	0.6844361934
6	0.6833650819
7	0.6826806306
8	0.6815942485
9	0.68009932
10	0.6788248139
11	0.6780248292
12	0.6769438855
13	0.6753426936
14	0.6742418169
15	0.6732855053
16	0.672369623
17	0.6708677013
18	0.6699343739
19	0.6691544286
20	0.6684987026
21	0.6676970501
22	0.666677445
23	0.6656824621
24	0.6643867692
25	0.6628777527
26	0.6619936544
27	0.6610221928
28	0.6604361292
29	0.6589850233
30	0.658612194
31	0.6581329986
32	0.6579709594
33	0.6568317199
34	0.6558569121
35	0.654671871
36	0.6540707466
37	0.65355631
38	0.6525277149
39	0.6521524723
40	0.650612338
41	0.6497010593
42	0.6489093846
43	0.6480330693
44	0.6470585283
45	0.6464293167
46	0.6453845099
47	0.6449610333
48	0.6444571413
49	0.6436385399
50	0.6432079123
51	0.6424919936
52	0.6419828979
53	0.6408446754
54	0.640340177
55	0.6399950173
56	0.6391519536
57	0.6381118692
58	0.6370235087
59	0.636328056
60	0.6355778933
61	0.6346253047
62	0.6334499984
63	0.6326736086
64	0.6315494399
65	0.6307309992
66	0.6299710614
67	0.6290164807
68	0.6283323493
69	0.6277694545
70	0.6273019523
71	0.6269160424
72	0.6263679489
73	0.6254779208
74	0.6250602177
75	0.6244381106
76	0.6240337938
77	0.6233605905
78	0.6225378858
79	0.6215351781
80	0.6210681802
81	0.6209054178
82	0.6199345736
83	0.6185324675
84	0.6175782885
85	0.616811641
86	0.6166789841
87	0.6155205473
88	0.6154261468
89	0.6152379979
90	0.6145709514
91	0.6138870852
92	0.6132953748
93	0.612486167
94	0.6117389495
95	0.6111202453
96	0.6100852818
97	0.6096725224
98	0.6088422568
99	0.6082153974
100	0.6075352607
101	0.6072927452
102	0.6066076031
103	0.6064877901
104	0.6059433097
105	0.6056364512
106	0.605164015
107	0.6045785402
108	0.6033041919
109	0.6028146917
110	0.601998642
111	0.6017964535
112	0.6008973998
113	0.6008352253
114	0.6001435981
115	0.5993840513
116	0.5990182801
117	0.5979214937
118	0.5970857675
119	0.5965112711
120	0.5962908162
121	0.5953984964
122	0.5949292113
123	0.594028544
124	0.5934028327
125	0.5927614707
126	0.5923114214
127	0.5914883763
128	0.590491032
129	0.5897412909
130	0.5888439215
131	0.588012436
132	0.5874998907
133	0.586180453
134	0.5855250277
135	0.5848665794
136	0.5846958796
137	0.5843495766
138	0.5840050527
139	0.5835452565
140	0.5826796152
141	0.582209855
142	0.5813993057
143	0.580761298
144	0.5807184921
145	0.5804517187
146	0.580059111
147	0.5796328745
148	0.5787366208
149	0.5782138067
150	0.5772398402
151	0.5766439314
152	0.576176063
153	0.5757886875
154	0.5748587296
155	0.5743426785
156	0.5743057929
157	0.5735818456
