iter	Passed	Remaining
0	143	143005
1	233	116427
2	432	143739
3	509	126784
4	692	137745
5	846	140192
6	994	141041
7	1017	126151
8	1196	131746
9	1345	133160
10	1550	139383
11	1685	138791
12	1897	144041
13	2051	144505
14	2226	146208
15	2426	149213
16	2557	147899
17	2711	147939
18	2898	149644
19	3018	147888
20	3110	145021
21	3278	145756
22	3477	147732
23	3586	145841
24	3726	145333
25	3895	145928
26	4062	146385
27	4245	147395
28	4383	146761
29	4520	146169
30	4642	145119
31	4704	142314
32	4718	138251
33	4889	138906
34	5057	139432
35	5243	140420
36	5441	141617
37	5718	144770
38	5938	146318
39	6042	145023
40	6177	144488
41	6363	145158
42	6522	145167
43	6644	144369
44	6849	145367
45	7046	146137
46	7151	145002
47	7320	145199
48	7443	144471
49	7630	144986
50	7771	144618
51	7948	144907
52	8169	145970
53	8290	145244
54	8513	146274
55	8677	146285
56	8790	145435
57	8984	145922
58	9137	145731
59	9293	145590
60	9439	145313
61	9537	144288
62	9740	144864
63	9890	144644
64	10013	144037
65	10240	144921
66	10398	144800
67	10542	144493
68	10704	144433
69	10889	144670
70	11073	144892
71	11212	144513
72	11398	144742
73	11642	145687
74	11811	145674
75	12009	146008
76	12137	145494
77	12287	145240
78	12442	145061
79	12628	145223
80	12777	144966
81	12900	144424
82	13115	144897
83	13264	144646
84	13382	144059
85	13588	144416
86	13649	143238
87	13771	142726
88	13848	141750
89	13894	140485
90	14104	140889
91	14220	140345
92	14450	140933
93	14551	140255
94	14803	141019
95	15015	141393
96	15134	140889
97	15276	140607
98	15409	140238
99	15520	139686
100	15644	139248
101	15735	138531
102	15885	138345
103	15980	137680
104	16133	137517
105	16272	137245
106	16410	136960
107	16611	137195
108	16806	137385
109	16964	137256
110	17118	137099
111	17192	136312
112	17348	136179
113	17408	135297
114	17532	134923
115	17697	134866
116	17886	134988
117	18007	134602
118	18132	134239
119	18329	134415
120	18392	133614
121	18576	133691
122	18766	133809
123	18902	133534
124	19039	133276
125	19180	133043
126	19331	132881
127	19474	132671
128	19622	132492
129	19845	132809
130	19996	132650
131	20150	132502
132	20326	132502
133	20484	132382
134	20669	132439
135	20849	132452
136	20957	132018
137	21157	132160
138	21294	131906
139	21452	131780
140	21587	131512
141	21818	131832
142	22016	131944
143	22234	132173
144	22293	131453
145	22402	131039
146	22583	131047
147	22785	131170
148	22936	130999
149	23071	130736
150	23287	130932
151	23407	130589
152	23529	130256
153	23753	130491
154	23995	130816
155	24133	130569
156	24164	129750
157	24284	129416
158	24444	129292
159	24623	129273
160	24720	128820
161	24841	128502
162	25074	128756
163	25196	128440
164	25315	128114
165	25504	128139
166	25696	128172
167	25884	128192
168	26060	128142
169	26267	128247
170	26412	128045
171	26455	127354
172	26708	127675
173	26945	127914
174	27064	127591
175	27240	127535
176	27418	127486
177	27543	127194
178	27666	126893
179	27770	126512
180	27896	126227
181	28055	126097
182	28169	125760
183	28359	125769
184	28468	125415
185	28637	125328
186	28721	124868
187	28865	124673
188	29021	124532
189	29171	124363
190	29375	124424
191	29452	123946
192	29622	123863
193	29798	123803
194	29956	123666
195	30047	123257
196	30203	123114
197	30337	122882
198	30399	122361
199	30551	122207
200	30657	121868
201	30805	121695
202	30966	121579
203	31102	121360
204	31306	121407
205	31441	121186
206	31597	121046
207	31750	120895
208	31997	121102
209	32054	120584
210	32175	120314
211	32343	120220
212	32498	120078
213	32702	120112
214	32807	119785
215	32992	119751
216	33157	119642
217	33217	119155
218	33374	119018
219	33494	118752
220	33637	118568
221	33789	118416
222	33982	118405
223	34114	118183
224	34294	118125
225	34483	118099
226	34655	118011
227	34788	117793
228	34896	117491
229	35082	117448
230	35223	117258
231	35374	117100
232	35573	117103
233	35764	117076
234	35940	116996
235	36001	116548
236	36081	116160
237	36221	115971
238	36367	115797
239	36521	115649
240	36729	115676
241	36887	115541
242	37011	115299
243	37167	115158
244	37283	114894
245	37425	114711
246	37577	114558
247	37718	114372
248	37900	114308
249	38010	114031
250	38088	113657
251	38236	113497
252	38372	113297
253	38499	113072
254	38643	112900
255	38772	112683
256	38908	112487
257	39063	112346
258	39230	112239
259	39280	111798
260	39338	111385
261	39467	111170
262	39601	110973
263	39739	110787
264	39909	110693
265	40049	110512
266	40218	110413
267	40347	110203
268	40475	109992
269	40598	109765
270	40753	109628
271	40900	109468
272	41105	109464
273	41236	109261
274	41444	109263
275	41579	109069
276	41702	108847
277	41854	108701
278	41991	108515
279	42148	108383
280	42300	108234
281	42361	107857
282	42484	107638
283	42658	107546
284	42788	107346
285	42925	107163
286	43082	107030
287	43254	106934
288	43499	107017
289	43615	106782
290	43742	106575
291	43818	106245
292	43956	106064
293	44129	105970
294	44298	105867
295	44446	105711
296	44631	105643
297	44837	105623
298	44984	105464
299	45122	105285
300	45255	105095
301	45400	104933
302	45565	104815
303	45748	104740
304	45892	104574
305	46041	104421
306	46196	104279
307	46382	104209
308	46507	104001
309	46622	103772
310	46749	103571
311	46903	103428
312	47046	103261
313	47193	103103
314	47334	102933
315	47472	102756
316	47640	102645
317	47810	102537
318	48038	102552
319	48158	102336
320	48308	102185
321	48438	101992
322	48619	101906
323	48740	101692
324	48878	101517
325	49083	101480
326	49299	101462
327	49447	101306
328	49600	101160
329	49645	100795
330	49774	100601
331	49957	100517
332	50145	100442
333	50289	100277
334	50411	100069
335	50587	99969
336	50799	99940
337	50950	99790
338	50997	99438
339	51216	99420
340	51374	99284
341	51477	99040
342	51641	98916
343	51827	98834
344	51964	98657
345	52153	98579
346	52257	98340
347	52380	98139
348	52456	97848
349	52648	97775
350	52880	97776
351	53009	97586
352	53128	97377
353	53283	97234
354	53424	97067
355	53610	96979
356	53785	96873
357	53946	96742
358	54067	96537
359	54195	96346
360	54271	96065
361	54331	95754
362	54497	95633
363	54666	95515
364	54795	95328
365	54952	95191
366	55070	94985
367	55223	94839
368	55326	94609
369	55503	94506
370	55625	94307
371	55774	94156
372	55948	94047
373	56090	93884
374	56314	93858
375	56449	93682
376	56577	93496
377	56745	93375
378	56834	93124
379	56988	92981
380	57204	92938
381	57405	92869
382	57567	92739
383	57719	92591
384	57883	92463
385	58030	92306
386	58155	92117
387	58293	91947
388	58471	91840
389	58612	91675
390	58811	91601
391	58828	91244
392	59007	91138
393	59134	90953
394	59352	90906
395	59456	90685
396	59660	90618
397	59795	90445
398	59858	90162
399	60040	90060
400	60167	89876
401	60296	89694
402	60457	89560
403	60566	89350
404	60713	89196
405	60812	88971
406	60979	88847
407	61110	88669
408	61130	88333
409	61302	88216
410	61447	88060
411	61585	87893
412	61731	87740
413	61882	87592
414	61942	87315
415	62093	87170
416	62249	87029
417	62421	86911
418	62583	86780
419	62739	86640
420	62869	86464
421	62938	86205
422	63086	86053
423	63202	85860
424	63364	85729
425	63478	85531
426	63645	85406
427	63799	85264
428	63945	85112
429	64124	85002
430	64302	84891
431	64425	84707
432	64612	84607
433	64738	84428
434	64874	84262
435	65031	84123
436	65180	83974
437	65272	83751
438	65395	83569
439	65577	83462
440	65713	83296
441	65824	83099
442	65936	82903
443	66056	82719
444	66237	82610
445	66361	82431
446	66500	82269
447	66662	82137
448	66803	81978
449	66895	81761
450	67075	81650
451	67291	81582
452	67427	81419
453	67549	81238
454	67702	81094
455	67808	80894
456	67965	80755
457	68097	80586
458	68290	80490
459	68426	80327
460	68581	80185
461	68717	80021
462	68853	79858
463	69023	79734
464	69191	79607
465	69360	79481
466	69509	79333
467	69685	79215
468	69720	78936
469	69793	78703
470	69938	78550
471	70134	78456
472	70266	78288
473	70455	78184
474	70669	78107
475	70790	77928
476	70909	77747
477	71038	77577
478	71158	77397
479	71309	77251
480	71391	77031
481	71471	76810
482	71669	76714
483	71885	76638
484	72041	76497
485	72175	76334
486	72403	76268
487	72528	76095
488	72669	75939
489	72803	75775
490	72987	75662
491	73123	75501
492	73274	75355
493	73478	75262
494	73598	75085
495	73776	74966
496	73971	74864
497	74200	74796
498	74349	74647
499	74485	74485
500	74663	74365
501	74748	74153
502	74965	74071
503	75137	73944
504	75255	73765
505	75441	73652
506	75577	73490
507	75792	73405
508	75965	73279
509	76118	73133
510	76284	72999
511	76434	72851
512	76574	72693
513	76748	72568
514	76881	72403
515	77057	72279
516	77256	72175
517	77414	72033
518	77571	71892
519	77725	71746
520	77865	71588
521	77987	71413
522	78111	71241
523	78295	71122
524	78454	70982
525	78597	70827
526	78757	70687
527	78924	70553
528	79096	70424
529	79230	70260
530	79276	70020
531	79370	69821
532	79492	69648
533	79678	69531
534	79801	69359
535	79939	69201
536	80129	69087
537	80261	68923
538	80382	68749
539	80563	68628
540	80701	68469
541	80843	68313
542	80972	68148
543	81083	67967
544	81285	67862
545	81453	67728
546	81591	67570
547	81772	67447
548	81789	67189
549	81976	67071
550	82093	66896
551	82157	66678
552	82326	66546
553	82478	66399
554	82616	66242
555	82837	66151
556	82987	66002
